Longitude,Latitude,LineStringColor,Icon
-73.633751,45.442131,blue,none
-73.633864,45.442225,blue,none
-73.633962,45.44237,blue,none
-73.633637,45.442839,blue,none
-73.633633,45.442844,blue,none
-73.633634,45.442848,blue,none
-73.63366,45.443046,blue,none
-73.63367,45.443061,blue,none
-73.633693,45.443062,blue,none
-73.633842,45.443026,blue,none
-73.63432,45.443062,blue,none
-73.634473,45.443097,blue,none
-73.634656,45.44311,blue,none
-73.634693,45.443187,blue,none
-73.634815,45.443151,blue,none
-73.634849,45.443004,blue,none
-73.634869,45.443032,blue,none
-73.634915,45.443026,blue,none
-73.635121,45.442864,blue,none
-73.639468,45.439449,blue,none
-73.640146,45.438916,blue,none
-73.642464,45.437647,blue,none
-73.642565,45.437594,blue,none
-73.642573,45.437555,blue,none
-73.64221,45.437224,blue,none
-73.641689,45.436747,blue,none
-73.641207,45.436303,blue,none
-73.641199,45.436296,blue,none
-73.641111,45.436242,blue,none
-73.639266,45.434579,blue,none
-73.639178,45.4345,blue,none
-73.638947,45.434285,blue,none
-73.638871,45.434213,blue,none
-73.638384,45.433772,blue,none
-73.638115,45.433521,blue,none
-73.637681,45.433117,blue,none
-73.637602,45.433044,blue,none
-73.636912,45.432424,blue,none
-73.636502,45.432038,blue,none
-73.636401,45.431951,blue,none
-73.636324,45.431816,blue,none
-73.635899,45.431445,blue,none
-73.634938,45.430573,blue,none
-73.634848,45.430492,blue,none
-73.634825,45.430483,blue,none
-73.6348,45.430485,blue,none
-73.634661,45.430539,blue,none
-73.633966,45.430787,blue,none
-73.633626,45.430909,blue,none
-73.632693,45.431247,blue,none
-73.632477,45.431324,blue,none
-73.630816,45.431929,blue,none
-73.630315,45.432147,blue,none
-73.630184,45.432214,blue,none
-73.62984,45.432392,blue,none
-73.629493,45.432618,blue,none
-73.62921,45.432819,blue,none
-73.628711,45.433298,blue,none
-73.628408,45.43358,blue,none
-73.625481,45.436291,blue,none
-73.625319,45.436442,blue,none
-73.623958,45.437704,blue,none
-73.623609,45.438028,blue,none
-73.622401,45.439146,blue,none
-73.62213,45.439397,blue,none
-73.621739,45.439664,blue,none
-73.621281,45.439942,blue,none
-73.620242,45.440534,blue,none
-73.620094,45.440618,blue,none
-73.620087,45.440622,blue,none
-73.620083,45.440627,blue,none
-73.620074,45.44064,blue,none
-73.619026,45.441225,blue,none
-73.618804,45.441349,blue,none
-73.618472,45.441529,blue,none
-73.616863,45.442448,blue,none
-73.616471,45.442675,blue,none
-73.614958,45.443549,blue,none
-73.614295,45.44401,blue,none
-73.614153,45.44411,blue,none
-73.613884,45.444326,blue,none
-73.612111,45.445709,blue,none
-73.611944,45.445839,blue,none
-73.611854,45.445912,blue,none
-73.610667,45.446849,blue,none
-73.609891,45.447468,blue,none
-73.60989,45.447467,blue,none
-73.60968,45.447633,blue,none
-73.609286,45.447457,blue,none
-73.608761,45.447206,blue,none
-73.608359,45.447051,blue,none
-73.607956,45.446969,blue,none
-73.607643,45.446942,blue,none
-73.60741,45.446943,blue,none
-73.60691,45.446952,blue,none
-73.606295,45.446989,blue,none
-73.605312,45.447061,blue,none
-73.60492,45.447071,blue,none
-73.604654,45.447053,blue,none
-73.604504,45.447035,blue,none
-73.603189,45.446811,blue,none
-73.602566,45.446716,blue,none
-73.602433,45.446695,blue,none
-73.601371,45.446534,blue,none
-73.599437,45.446226,blue,none
-73.599236,45.446194,blue,none
-73.596409,45.445757,blue,none
-73.596282,45.445738,blue,none
-73.593316,45.44529,blue,none
-73.592791,45.44521,blue,none
-73.592612,45.445183,blue,none
-73.592593,45.445184,blue,none
-73.592575,45.445192,blue,none
-73.592408,45.445329,blue,none
-73.592164,45.445627,blue,none
-73.592075,45.445716,blue,none
-73.591845,45.44596,blue,none
-73.59136,45.446464,blue,none
-73.591353,45.446476,blue,none
-73.591366,45.446492,blue,none
-73.591455,45.446581,blue,none
-73.591514,45.446657,blue,none
-73.591649,45.447008,blue,none
-73.592103,45.44819,blue,none
-73.592143,45.448293,blue,none
-73.593087,45.450788,blue,none
-73.593158,45.450974,blue,none
-73.593226,45.45115,blue,none
-73.592925,45.451207,blue,none
-73.592325,45.451316,blue,none
-73.591407,45.451478,blue,none
-73.59123,45.451496,blue,none
-73.590989,45.451515,blue,none
-73.589759,45.451462,blue,none
-73.589535,45.451453,blue,none
-73.589512,45.451458,blue,none
-73.589502,45.451473,blue,none
-73.589439,45.452166,blue,none
-73.589395,45.452768,blue,none
-73.589389,45.452859,blue,none
-73.589339,45.453516,blue,none
-73.589296,45.454078,blue,none
-73.589289,45.454182,blue,none
-73.589239,45.454737,blue,none
-73.589204,45.454794,blue,none
-73.589166,45.454835,blue,none
-73.58909,45.454892,blue,none
-73.588993,45.454945,blue,none
-73.588765,45.455025,blue,none
-73.588673,45.455071,blue,none
-73.588666,45.455075,blue,none
-73.588661,45.45508,blue,none
-73.588609,45.455146,blue,none
-73.588581,45.455223,blue,none
-73.588568,45.455333,blue,none
-73.588543,45.455488,blue,none
-73.588543,45.455542,blue,none
-73.588504,45.45595,blue,none
-73.588493,45.456072,blue,none
-73.588468,45.456369,blue,none
-73.588455,45.456666,blue,none
-73.588416,45.457036,blue,none
-73.5884077,45.4571222,blue,none
-73.588315,45.457137,blue,none
-73.588149,45.457191,blue,none
-73.587813,45.457227,blue,none
-73.585334,45.457128,blue,none
-73.585146,45.457121,blue,none
-73.58223,45.457024,blue,none
-73.581802,45.457007,blue,none
-73.581783,45.457006,blue,none
-73.581218,45.456981,blue,none
-73.581572,45.456142,blue,none
-73.582076,45.455319,blue,none
-73.582171,45.455162,blue,none
-73.582615,45.454553,blue,none
-73.583177,45.453914,blue,none
-73.583457,45.453628,blue,none
-73.5838,45.453304,blue,none
-73.583806,45.453281,blue,none
-73.583773,45.45327,blue,none
-73.583685,45.453261,blue,none
-73.583585,45.453243,blue,none
-73.583306,45.453181,blue,none
-73.582653,45.453001,blue,none
-73.582476,45.452963,blue,none
-73.582281,45.45292,blue,none
-73.582061,45.452885,blue,none
-73.576836,45.45268,blue,none
-73.576637,45.452672,blue,none
-73.572635,45.452527,blue,none
-73.572277,45.452513,blue,none
-73.572251,45.452516,blue,none
-73.572244,45.452529,blue,none
-73.572193,45.45306,blue,none
-73.57213,45.453843,blue,none
-73.572065,45.4546,blue,none
-73.572055,45.454717,blue,none
-73.572055,45.45477,blue,none
-73.572042,45.454841,blue,none
-73.571979,45.455589,blue,none
-73.571924,45.456177,blue,none
-73.571916,45.456264,blue,none
-73.571866,45.456876,blue,none
-73.571802,45.457461,blue,none
-73.571752,45.458046,blue,none
-73.571702,45.458613,blue,none
-73.571642,45.459172,blue,none
-73.571638,45.459207,blue,none
-73.571626,45.459432,blue,none
-73.57155,45.460314,blue,none
-73.571475,45.461205,blue,none
-73.571409,45.461972,blue,none
-73.571402,45.462069,blue,none
-73.567466,45.461905,blue,none
-73.56738,45.461902,blue,none
-73.567111,45.461884,blue,none
-73.563728,45.461727,blue,none
-73.563096,45.461697,blue,none
-73.563086,45.461697,blue,none
-73.563083,45.461697,blue,none
-73.562981,45.461715,blue,none
-73.562959,45.461726,blue,none
-73.562953,45.461744,blue,none
-73.562967,45.461846,blue,none
-73.563007,45.46194,blue,none
-73.563456,45.462635,blue,none
-73.563602,45.462845,blue,none
-73.564058,45.463499,blue,none
-73.564519,45.464119,blue,none
-73.564775,45.464497,blue,none
-73.565019,45.464829,blue,none
-73.565116,45.46498,blue,none
-73.565115,45.46498,blue,none
-73.565479,45.465548,blue,none
-73.565683,45.465914,blue,none
-73.565824,45.466282,blue,none
-73.566143,45.467174,blue,none
-73.566196,45.467318,blue,none
-73.566274,45.467473,blue,none
-73.566403,45.467637,blue,none
-73.56648,45.467744,blue,none
-73.566889,45.468356,blue,none
-73.566999,45.468528,blue,none
-73.567119,45.468716,blue,none
-73.567388,45.469138,blue,none
-73.567722,45.469669,blue,none
-73.568114,45.470257,blue,none
-73.568196,45.47038,blue,none
-73.568516,45.470847,blue,none
-73.569118,45.471792,blue,none
-73.569453,45.472287,blue,none
-73.569504,45.472359,blue,none
-73.569515,45.47237,blue,none
-73.569547,45.472364,blue,none
-73.569647,45.472338,blue,none
-73.569754,45.472321,blue,none
-73.570036,45.472319,blue,none
-73.57011,45.472322,blue,none
-73.570521,45.472337,blue,none
-73.571019,45.472364,blue,none
-73.571337,45.472391,blue,none
-73.571479,45.472418,blue,none
-73.571532,45.472418,blue,none
-73.571549,45.472422,blue,none
-73.57171,45.4725,blue,none
-73.571878,45.47266,blue,none
-73.571878,45.472733,blue,none
-73.571878,45.472738,blue,none
-73.571883,45.472745,blue,none
-73.572174,45.473136,blue,none
-73.572367,45.473647,blue,none
-73.572394,45.473737,blue,none
-73.572804,45.474746,blue,none
-73.57292,45.475007,blue,none
-73.57315,45.475519,blue,none
-73.573175,45.475599,blue,none
-73.573177,45.475606,blue,none
-73.573184,45.475612,blue,none
-73.5733,45.475702,blue,none
-73.573469,45.475829,blue,none
-73.573727,45.475966,blue,none
-73.573803,45.476021,blue,none
-73.573805,45.47602,blue,none
-73.573902,45.476088,blue,none
-73.574131,45.476276,blue,none
-73.574618,45.47668,blue,none
-73.574757,45.476806,blue,none
-73.576729,45.478523,blue,none
-73.577356,45.479089,blue,none
-73.577596,45.479347,blue,none
-73.577721,45.479646,blue,none
-73.577758,45.479846,blue,none
-73.577723,45.480002,blue,none
-73.577669,45.480095,blue,none
-73.577599,45.480219,blue,none
-73.577372,45.480469,blue,none
-73.577232,45.480585,blue,none
-73.577223,45.480597,blue,none
-73.577225,45.48061,blue,none
-73.577276,45.480745,blue,none
-73.577279,45.480751,blue,none
-73.577282,45.480754,blue,none
-73.577772,45.481202,blue,none
-73.577772,45.481201,blue,none
-73.577869,45.481291,blue,none
-73.578251,45.481917,blue,none
-73.578597,45.482493,blue,none
-73.578914,45.482991,blue,none
-73.578969,45.483078,blue,none
-73.579347,45.483702,blue,none
-73.579443,45.48386,blue,none
-73.579841,45.484499,blue,none
-73.580033,45.484814,blue,none
-73.580477,45.485513,blue,none
-73.580478,45.485513,blue,none
-73.58056,45.485643,blue,none
-73.581433,45.486795,blue,none
-73.581627,45.487013,blue,none
-73.581821,45.487186,blue,none
-73.582231,45.487501,blue,none
-73.582937,45.488064,blue,none
-73.582451,45.488196,blue,none
-73.582012,45.488351,blue,none
-73.581549,45.488568,blue,none
-73.581473,45.488604,blue,none
-73.580666,45.489001,blue,none
-73.580116,45.489289,blue,none
-73.579234,45.489731,blue,none
-73.578502,45.490138,blue,none
-73.578214,45.49036,blue,none
-73.578213,45.49036,blue,none
-73.577936,45.490574,blue,none
