Longitude,Latitude,LineStringColor,Icon
-73.567846,45.509419,blue,none
-73.567921,45.509334,blue,none
-73.568024,45.509208,blue,none
-73.568394,45.508784,blue,none
-73.568626,45.50852,blue,none
-73.568739,45.50839,blue,none
-73.569433,45.507605,blue,none
-73.569519,45.507507,blue,none
-73.569697,45.507337,blue,none
-73.570566,45.506455,blue,none
-73.570975,45.506041,blue,none
-73.571367,45.505641,blue,none
-73.571435,45.505572,blue,none
-73.57192,45.505068,blue,none
-73.571926,45.505054,blue,none
-73.571908,45.50504,blue,none
-73.57132,45.504771,blue,none
-73.571262,45.504737,blue,none
-73.571104,45.504645,blue,none
-73.570795,45.504501,blue,none
-73.569372,45.503816,blue,none
-73.569246,45.503755,blue,none
-73.568439,45.50336,blue,none
-73.56842,45.503357,blue,none
-73.568403,45.503365,blue,none
-73.568034,45.503772,blue,none
-73.566851,45.50318,blue,none
-73.566632,45.503099,blue,none
-73.566514,45.503053,blue,none
-73.566309,45.503008,blue,none
-73.565955,45.502883,blue,none
-73.56522,45.502515,blue,none
-73.565218,45.502515,blue,none
-73.564967,45.502389,blue,none
-73.564196,45.502208,blue,none
-73.563988,45.502163,blue,none
-73.563836,45.502145,blue,none
-73.563672,45.502101,blue,none
-73.563457,45.502038,blue,none
-73.563196,45.501927,blue,none
-73.563299,45.501807,blue,none
-73.563561,45.501467,blue,none
-73.563836,45.501114,blue,none
-73.564408,45.500397,blue,none
-73.564535,45.50029,blue,none
-73.564543,45.500272,blue,none
-73.564532,45.500253,blue,none
-73.564109,45.499959,blue,none
-73.563534,45.499561,blue,none
-73.562838,45.499088,blue,none
-73.562838,45.499089,blue,none
-73.5627105,45.4990014,blue,none
-73.563524,45.49811,blue,none
-73.563853,45.497779,blue,none
-73.56397,45.497661,blue,none
-73.564251,45.497382,blue,none
-73.564341,45.497292,blue,none
-73.564724,45.496905,blue,none
-73.564731,45.49689,blue,none
-73.564708,45.496874,blue,none
-73.564196,45.496613,blue,none
-73.563095,45.496083,blue,none
-73.562739,45.495916,blue,none
-73.563025,45.495425,blue,none
-73.563227,45.495131,blue,none
-73.563228,45.495131,blue,none
-73.563791,45.49431,blue,none
-73.564237,45.493671,blue,none
-73.564812,45.492952,blue,none
-73.565007,45.492714,blue,none
-73.565411,45.492223,blue,none
-73.566036,45.491495,blue,none
-73.566114,45.491404,blue,none
-73.566523,45.490909,blue,none
-73.567113,45.490236,blue,none
-73.567225,45.490108,blue,none
-73.567968,45.489233,blue,none
-73.568224,45.488917,blue,none
-73.568544,45.488402,blue,none
-73.568978,45.4877,blue,none
-73.569173,45.487381,blue,none
-73.569462,45.48691,blue,none
-73.570099,45.48621,blue,none
-73.570442,45.485871,blue,none
-73.570973,45.48554,blue,none
-73.571667,45.485112,blue,none
-73.571791,45.485036,blue,none
-73.573172,45.484198,blue,none
-73.573683,45.483883,blue,none
-73.574463,45.483414,blue,none
-73.575312,45.482902,blue,none
-73.575448,45.48282,blue,none
-73.575691,45.482667,blue,none
-73.576815,45.481973,blue,none
-73.577792,45.481379,blue,none
-73.577927,45.481298,blue,none
-73.57808,45.481208,blue,none
-73.578858,45.480776,blue,none
-73.57951,45.480415,blue,none
-73.580137,45.480069,blue,none
-73.580341,45.479956,blue,none
-73.580609,45.479812,blue,none
-73.581415,45.479397,blue,none
-73.581895,45.479126,blue,none
-73.582118,45.479001,blue,none
-73.582846,45.478604,blue,none
